1	H	0.09
2	He	0.18
3	Li	534.00
4	Be	1848.00
5	B	2460.00
6	C	2260.00
7	N	1.17
8	O	1.33
9	F	1.58
10	Ne	0.84
11	Na	968.00
12	Mg	1738.00
13	Al	2699.00
14	Si	2336.00
15	P	1820.00
16	S	2060.00
17	Cl	2.95
18	Ar	1.66
19	K	856.00
20	Ca	1540.00
21	Sc	2990.00
22	Ti	4510.00
23	V	6090.00
24	Cr	7140.00
25	Mn	7440.00
26	Fe	7874.00
27	Co	8890.00
28	Ni	8910.00
29	Cu	8920.00
30	Zn	7140.00
31	Ga	5904.00
32	Ge	5323.00
33	As	5720.00
34	Se	4819.00
35	Br	3140.00
36	Kr	3.75
37	Rb	1530.00
38	Sr	2630.00
39	Y	4470.00
40	Zr	6510.00
41	Nb	8580.00
42	Mo	10280.00
43	Tc	11490.00
44	Ru	12450.00
45	Rh	12410.00
46	Pd	12020.00
47	Ag	10490.00
48	Cd	8640.00
49	In	7310.00
50	Sn	7290.00
51	Sb	6690.00
52	Te	6250.00
53	I	4940.00
54	Xe	4.49
55	Cs	1900.00
56	Ba	3650.00
57	La	6160.00
58	Ce	6770.00
59	Pr	6480.00
60	Nd	7000.00
61	Pm	7220.00
62	Sm	7540.00
63	Eu	5250.00
64	Gd	7890.00
65	Tb	8250.00
66	Dy	8560.00
67	Ho	8780.00
68	Er	9050.00
69	Tm	9320.00
70	Yb	6970.00
71	Lu	9840.00
72	Hf	13310.00
73	Ta	16680.00
74	W	19260.00
75	Re	21030.00
76	Os	22590.00
77	Ir	22560.00
78	Pt	21450.00
79	Au	19320.00
80	Hg	13550.00
81	Tl	11850.00
82	Pb	11340.00
83	Bi	9800.00
84	Po	9200.00
86	Rn	9.23
88	Ra	5500.00
89	Ac	10070.00
90	Th	11720.00
91	Pa	15370.00
92	U	18970.00
93	Np	20480.00
94	Pu	19740.00
95	Am	13670.00
96	Cm	13510.00
97	Bk	13250.00
98	Cf	15100.00
