iteration;agentId;positionBefore;positionAfter;personalBest;personalBestFitness;globalBest;globalBestFitness;popAvgFitness;popStdDev;distToOptimum
1;6;[27.4810655781,-4.1621275002];[3.8451417138,14.5827977853];[3.8451417138,14.5827977853];19.4895871728;[-2.7972668985,-1.7898916495];8.9034191639;19.5338404405;2.4085638362;3.3209056322
1;11;[16.4679127379,4.6557002737];[11.8293397154,5.6155752317];[11.8293397154,5.6155752317];18.7054702866;[-2.7972668985,-1.7898916495];8.9034191639;19.4747972395;2.4064351055;3.3209056322
1;16;[-1.2730684830,-13.6539997856];[-1.2730684830,-13.6539997856];[-1.2730684830,-13.6539997856];19.1417363416;[-2.7972668985,-1.7898916495];8.9034191639;19.4747972395;2.4064351055;3.3209056322
1;21;[-2.0301400889,21.4514023802];[10.2430165801,9.1756923558];[10.2430165801,9.1756923558];18.5778081511;[-2.7972668985,-1.7898916495];8.9034191639;19.4022509666;2.3995675724;3.3209056322
1;1;[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];[14.9136133346,12.0077334453];18.8562781748;[-2.7972668985,-1.7898916495];8.9034191639;19.4022509666;2.3995675724;3.3209056322
1;2;[-12.5357617753,-14.6093840745];[12.0345916966,24.8381999381];[12.0345916966,24.8381999381];20.1948793748;[-2.7972668985,-1.7898916495];8.9034191639;19.3758582066;2.3863133324;3.3209056322
1;7;[16.3778514948,-7.4339533220];[5.0788496096,10.6558808719];[5.0788496096,10.6558808719];17.7761859648;[-2.7972668985,-1.7898916495];8.9034191639;19.2782291863;2.3898464374;3.3209056322
1;17;[29.4820337850,21.0037521374];[10.6153569611,13.4387617693];[10.6153569611,13.4387617693];20.5105895646;[-2.7972668985,-1.7898916495];8.9034191639;19.2420612916;2.3625559504;3.3209056322
1;22;[-22.8699960424,21.8802576061];[2.2194869237,9.3818178334];[2.2194869237,9.3818178334];16.8415320282;[-2.7972668985,-1.7898916495];8.9034191639;19.1213716686;2.3894691930;3.3209056322
1;12;[5.2445108307,16.5484919908];[5.2445108307,16.5484919908];[5.2445108307,16.5484919908];20.3696071110;[-2.7972668985,-1.7898916495];8.9034191639;19.1213716686;2.3894691930;3.3209056322
